PLN_AREA_N,% of Working Persons' Travel Time to Work Up to 45 Min - 2015,% of Working Persons' Travel Time to Work Over 45 Min - 2015,% of Working Persons Usual Mode of Transport to Work by Car - 2015,% of Working Persons Usual Mode of Transport to Work by Public Transport - 2015,% of Working Persons Without Need for Transport to Work - 2015,% Males - 2015,% Females - 2015,Population Density (/km2),% of Households in Condominium Apartments - 2015,% of Households in HDB Dwellings - 2015,% of Households in 1&2 Room Flats - 2015,% of Households in 3 Room Flats - 2015,% of Households in 4Room Flats - 2015,% of Households in 5 Room Flats - 2015,% of Households in Landed Properties - 2015,% of Working Persons with Gross Monthly Income from Work Below S$1000,% of Working Persons with Gross Monthly Income from Work S$1000-$4999,"% of Working Persons with Gross Monthly Income from Work S$5000-$9,999","% of Working Persons with Gross Monthly Income from Work Over S$10,000",% of Resident Population Over 15 Years Old with HQA Secondary - 2015,HQA No Qualification - 2015,HQA Polytechnic - 2015,HQA Post-Secondary - 2015,HQA Primary - 2015,HQA University - 2015,% of Resident Population Economically Active (Working) - 2015,% of Resident Population Economically Active (Unemployed) - 2015,% of Resident Population Economically Inactive - 2015,% of Resident Households Owner Tenancy - 2015,% of Resident Households as Tenants - 2015,% of Resident Population of Chinese Ethnicity - 2015,% of Resident Population of Malay Ethnicity - 2015,% of Resident Population of Indian Ethnicity - 2015,% of Resident Population of Eurasian/Other Ethnicity - 2015,% of Working Persons Occupation as Professionals - 2015,% of Working Persons Occupation as Legislators/Senior Officials - 2015
JURONG WEST,68.38709677,31.61290323,18.572331,56.2223626,7.075173721,50.45111127,49.5525563,"27,000",3.1150668,48.1246027,1.8436109,7.9465989,19.771138,18.5632549,0.6357279,8.4436043,57.2778828,26.2759924,7.876496534,27.38490745,12.52966303,9.776934029,11.58044613,2.419424889,22.59136213,67.48192259,2.743513399,29.73202892,93.38235294,6.25,69.76931822,17.8347453,9.935086368,2.460850112,14.80781348,12.22432262
KALLANG,84.17132216,15.82867784,18.0505415,62.45487365,10.28880866,49.80733129,50.19266871,"11,000",12.0743034,43.498452,8.8235294,15.3250774,12.3839009,6.9659443,0.3095975,7.7617329,53.2490975,22.9241877,15.88447653,24.5210728,17.24137931,6.513409962,8.173690932,1.350527679,28.48020434,65.33018868,2.948113208,31.72169811,80.54794521,18.90410959,74.8937852,7.884596384,14.28712578,2.934492639,18.41155235,18.23104693
MARINE PARADE,79.32692308,20.67307692,35.046729,49.53271028,7.943925234,47.13728709,52.88323415,"7,700",26.2222222,32.4444444,6.2222222,12.4444444,7.5555556,5.7777778,8.8888889,7.4418605,39.9999999,25.1162792,27.90697674,25.45454545,10,4.848484848,9.393939394,35.39094636,40.60606061,59.972106,2.370990237,37.65690377,81.57894737,17.10526316,75.14877899,7.202955058,12.33326493,5.315001026,24.18604651,31.62790698
NOVENA,81.93832599,18.06167401,29.8319328,50.42016807,11.34453782,48.26005418,51.73994582,"5,344.10",30.2631579,30.7017544,3.9473684,12.2807018,9.6491228,4.8245614,7.8947368,6.302521,40.3361344,21.8487395,30.67226891,18.42105263,11.98830409,6.140350877,7.30994152,36.13360304,43.56725146,63.97849462,2.016129032,33.87096774,82.80254777,15.92356688,80.93352782,4.396749323,8.772660971,5.897061888,27.31092437,23.52941176
OUTRAM,82.60869565,17.39130435,11.965812,54.7008547,25.64102564,50.27173913,49.72826087,"16,081.60",4.9689441,47.2049689,15.5279503,16.1490683,10.5590062,5.5900621,0,7.6923077,52.991453,22.2222223,15.38461538,25,19.51219512,4.87804878,10.97560976,0,26.82926829,67.24137931,1.149425287,31.03448276,69.04761905,30.95238095,81.61231884,8.740942029,7.201086957,2.445652174,17.09401709,14.52991453
PASIR RIS ,66.31299735,33.68700265,25.8974359,54.35897436,7.820512821,49.43169633,50.56830367,"9,313",10.724234,43.454039,0.9749304,0.1392758,16.9916435,25.3481894,2.2284123,8.974359,48.3333332,27.8205129,14.74358974,29.10521141,7.866273353,12.1927237,12.97935103,8.00996124,23.79547689,65.32663317,3.098827471,31.57453936,94.58128079,4.926108374,67.13131746,20.31596254,8.520980771,4.031739224,15.64102564,17.94871795
PUNGGOL,62.3089983,37.6910017,25.8706468,59.53565506,5.638474295,49.29384966,50.70615034,"17,000",2.1538462,48.9230769,2.7692308,2.9230769,22.6153846,20.6153846,0,5.9602649,42.7152318,38.2450331,12.91390728,21.29032258,8.903225806,13.41935484,8.387096774,0,34.4516129,72.91917973,2.171290712,24.90952955,96.08433735,3.915662651,77.3414723,13.19241983,7.033527697,2.432580175,23.01324503,15.89403974
QUEENSTOWN,82.70042194,17.29957806,20.0408998,63.80368098,9.611451943,47.14941356,52.85058644,"4,800.50",6.870229,45.648855,5.4961832,21.9847328,12.0610687,6.1068702,1.6793893,8.3333333,47.9674797,26.2195121,17.07317073,24.73262032,14.70588235,6.28342246,9.49197861,6.405112702,29.81283422,60.08557457,2.750611247,37.16381418,89.29577465,10.14084507,78.92106873,8.892514787,8.158270447,4.028146033,22.15447154,17.68292683
SEMBAWANG,54.97835498,45.02164502,18.220339,64.83050847,6.991525424,49.53612962,50.46387038,"6,203.30",2.2624434,47.7375566,1.1312217,0.678733,21.040724,24.6606335,2.4886878,6.7653277,51.3742073,32.346723,9.302325581,27.66323024,8.591065292,11.6838488,10.30927835,7.693786477,26.97594502,72.93754819,1.773323053,25.36622976,95.67099567,3.896103896,72.76884882,13.48490788,9.395008493,4.35123481,19.87315011,13.10782241
SENGKANG,65.57107642,34.42892358,20.7091056,62.53021757,6.607574537,49.25004838,50.74995162,"19,511",3.6290323,47.983871,1.4516129,1.7741935,22.5806452,22.1774194,0.4032258,6.0337892,51.5687853,29.9275944,12.55028158,25.48407245,11.05559026,10.74328545,9.431605247,1.347337827,29.29419113,69.92967651,2.475386779,27.6511955,96.28482972,3.560371517,77.69982582,10.92510161,8.805883491,2.569189085,20.3539823,14.4006436
SERANGOON,77.02909648,22.97090352,29.6622614,56.09397944,7.929515419,48.37987901,51.62012099,"11,945.20",8.6460033,36.5415987,0.4893964,7.6672104,17.2920065,10.9298532,17.9445351,6.744868,47.8005865,24.4868035,20.96774194,24.54361055,10.7505071,9.026369168,10.85192698,73.28247274,33.26572008,62.3857404,2.285191956,35.32906764,93.07692308,5.897435897,84.07358303,4.28405701,8.899569108,2.742790852,20.52785924,22.87390029
TAMPINES,69.47227789,30.52772211,19.816273,59.71128609,8.005249344,49.07552731,50.92447269,"12,506.20",6.0402685,46.5100671,1.6778523,9.1275168,19.7315436,15.9060403,0.8724832,8.5078534,54.1230366,25.5235603,11.71465969,29.67992241,11.68768186,10.66925315,10.62075655,3.418344423,24.34529583,65.94734571,2.891670263,31.16098403,95.24405507,4.380475594,67.16812127,21.44005512,8.252947481,3.138876129,17.01570681,13.54712042
TANGLIN,92.94117647,7.058823529,55.0561798,28.08988764,5.617977528,46.15789474,53.84210526,"2,491.80",87.3239437,2.8169014,0,0,0,1.4084507,8.4507042,6.6666667,18.8888888,16.6666666,57.77777778,7.633587786,1.526717557,3.053435115,10.6870229,50.7042254,72.51908397,62.5,0,36.80555556,70,27.14285714,74.52631579,1,10.15789474,14.31578947,28.88888889,55.55555556
TOA PAYOH ,83.18318318,16.81681682,16.2790698,65.55232558,10.31976744,47.8949896,52.1050104,"15,298.20",3.875,47.125,6.125,19,12.5,8.5,2.25,9.1436865,53.5558781,23.6574745,13.64296081,26.24618515,15.25940997,7.731434385,9.155645982,9.510736237,26.04272635,63.85542169,2.687673772,33.45690454,85.38283063,14.15313225,81.81672669,7.93917567,7.43497399,2.809123649,19.01306241,15.52975327
WOODLANDS,57.22937169,42.77062831,15.8011869,61.5727003,8.011869436,50.30165009,49.69435455,"18,424",2.4727273,48.7272727,2.3272727,5.0181818,21.7454545,19.6363636,0.0727273,8.0860534,60.3115728,25.7418398,5.934718101,30.3490991,11.03603604,10.19144144,13.4009009,0.282525649,19.36936937,66.76572561,2.625061912,30.63397722,93.60795455,6.25,61.44318363,24.89611635,11.11155506,2.549144958,14.39169139,9.272997033
YISHUN,61.61096829,38.38903171,15.7142857,62.68907563,9.74789916,49.50735258,50.49264742,"9,507.20",3.153527,47.7178423,1.8257261,11.3692946,24.7302905,9.8755187,1.1618257,8.6336966,61.1064544,23.5540653,6.705783738,28.2345443,14.65901848,9.305289994,11.72721479,4.932590978,19.75780752,69.25979681,2.235123367,28.5341074,94.59459459,4.92845787,70.45252005,16.80364393,10.01584315,2.727992871,13.57921207,10.98072087
